Age,Attrition,Department,EducationField,Gender,JobRole,,NumCompaniesWorked,TotalWorkingYears
41,Yes,Sales,Life Sciences,Female,Sales Executive,,8,8
49,No,Research & Development,Life Sciences,Male,Research Scientist,,1,10
37,Yes,Research & Development,Other,Male,Laboratory Technician,,6,7
33,No,Research & Development,Life Sciences,Female,Research Scientist,,1,8
27,No,Research & Development,Medical,Male,Laboratory Technician,,9,6
32,No,Research & Development,Life Sciences,Male,Laboratory Technician,,0,8
59,No,Research & Development,Medical,Female,Laboratory Technician,,4,12
30,No,Research & Development,Life Sciences,Male,Laboratory Technician,,1,1
38,No,Research & Development,Life Sciences,Male,Manufacturing Director,,0,10
36,No,Research & Development,Medical,Male,Healthcare Representative,,6,17
35,No,Research & Development,Medical,Male,Laboratory Technician,,0,6
29,No,Research & Development,Life Sciences,Female,Laboratory Technician,,0,10
31,No,Research & Development,Life Sciences,Male,Research Scientist,,1,5
34,No,Research & Development,Medical,Male,Laboratory Technician,,0,3
28,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,5,6
29,No,Research & Development,Life Sciences,Female,Manufacturing Director,,1,10
32,No,Research & Development,Life Sciences,Male,Research Scientist,,0,7
22,No,Research & Development,Medical,Male,Laboratory Technician,,1,1
53,No,Sales,Life Sciences,Female,Manager,,2,31
38,No,Research & Development,Life Sciences,Male,Research Scientist,,5,6
24,No,Research & Development,Other,Female,Manufacturing Director,,0,5
36,Yes,Sales,Life Sciences,Male,Sales Representative,,7,10
34,No,Research & Development,Life Sciences,Female,Research Director,,0,13
21,No,Research & Development,Life Sciences,Male,Research Scientist,,1,0
34,Yes,Research & Development,Medical,Male,Research Scientist,,2,8
53,No,Research & Development,Other,Female,Manager,,4,26
32,Yes,Research & Development,Life Sciences,Female,Research Scientist,,1,10
42,No,Sales,Marketing,Male,Sales Executive,,0,10
44,No,Research & Development,Medical,Female,Healthcare Representative,,3,24
46,No,Sales,Marketing,Female,Manager,,3,22
33,No,Research & Development,Medical,Male,Laboratory Technician,,4,7
44,No,Research & Development,Other,Male,Healthcare Representative,,2,9
30,No,Research & Development,Medical,Male,Laboratory Technician,,1,10
39,Yes,Sales,Technical Degree,Male,Sales Representative,,3,19
24,Yes,Research & Development,Medical,Male,Research Scientist,,2,6
43,No,Research & Development,Medical,Female,Research Scientist,,1,6
50,Yes,Sales,Marketing,Male,Sales Representative,,1,3
35,No,Sales,Marketing,Female,Sales Representative,,1,2
36,No,Research & Development,Life Sciences,Female,Research Scientist,,9,6
33,No,Sales,Life Sciences,Female,Sales Executive,,2,10
35,No,Research & Development,Other,Male,Laboratory Technician,,1,1
27,No,Research & Development,Life Sciences,Female,Laboratory Technician,,1,1
26,Yes,Research & Development,Life Sciences,Male,Laboratory Technician,,1,1
27,No,Sales,Life Sciences,Male,Sales Executive,,1,9
30,No,Research & Development,Medical,Female,Laboratory Technician,,1,12
41,Yes,Research & Development,Technical Degree,Female,Research Director,,1,23
34,No,Sales,Marketing,Male,Sales Executive,,0,10
